Node,Nid,Billing Reference,Child's Name,Billing Discount,Pre-Booked Session,Pre-Booked Duration (h),Pre-Booked Charged Duration,Pre-Booked FE,Pre-Booked Childcare Charge,Pre-Booked Away Discount,Pre-Booked Billing Discount,Pre-Booked TTO Surcharge,Pre-Booked Late Change Surcharge,Pre-Booked Services Charge,Pre-Booked Booking Charge,Booked Session,Booked Duration (h),Actual Attendance,Free Entitlement,Charged Duration,Childcare Charge,Unscheduled Charge,Away Discount,Billing Discount,TTO Surcharge,Late Change Surcharge,Services Charge,Booking Charge,Billing Adjustment,Childcare Setting
220924-240013,240013,BIBIN,"Bibin, Ewan",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,01/11/2022 - 7:30am to 6:00pm,10.5,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Station Close
233489-239923,239923,ANGELL,"Angell, Mason",0.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,3,7,26.1,0,0,0,0,5.99,32.09,01/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,6,4,34.8,0,0,0,0,0,5.99,40.79,8.7,Norto5 KIDZ - West End Farm
238802-239932,239932,ATKINSON,"Atkinson, Ted",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,01/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
238291-239982,239982,BARNES,"Barnes, Oliver",0.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,01/11/2022 - 8:00am to 6:00pm,10,01/11/2022 - 8:07am to 4:59pm,0,10,85,0,0,0,0,0,3.41,88.41,0,Norto5 KIDZ - West End Farm
209118-240111,240111,BROOMFIELD,"Broomfield, Naya",0.00%,"Tuesday, 1 November 2022 - 8:00am to 5:00pm",9,9,0,81,0,0,0,0,5.99,86.99,01/11/2022 - 8:00am to 5:00pm,9,01/11/2022 - 8:07am to 4:52pm,0,9,81,0,0,0,0,0,5.99,86.99,0,Norto5 KIDZ - West End Farm
190488-240187,240187,COBBOLD,"Cobbold, Brody",0.00%,"Tuesday, 1 November 2022 - 7:30am to 1:00pm",5.5,5.5,0,53.08,-31.85,0,0,0,0,21.23,01/11/2022 - 8:00am to 1:00pm,5,01/01/2000 - 12:00am,0,5,48.25,0,-28.95,0,0,0,0,19.3,-1.93,Norto5 KIDZ - Lindfield Lodge
213754-240231,240231,COX,"Cox, Wesley",5.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,01/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Station Close
187923-240251,240251,CRAIGD,"Craig-Davies, Lara ",5.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,-4.25,0,0,3.41,84.16,01/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,10,85,0,0,-4.25,0,0,3.41,84.16,0,KIDZ Academy - Cuckfield
164227-240266,240266,DAVIDSON01,"Davidson-Hewson, Eilidh ",5.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,3,7,26.1,0,-1.31,0,0,5.99,30.78,01/11/2022 - 8:00am to 6:00pm,10,01/11/2022 - 8:30am to 6:00pm,9.5,0.5,4.35,0,0,-0.22,0,0,5.99,10.12,-20.66,Norto5 KIDZ - Lindfield Lodge
182672-240356,240356,ELLIOTT01,"Elliott, Oscar",5.00%,"Tuesday, 1 November 2022 - 8:00am to 2:30pm",6.5,0,6.5,0,0,0,0,0,4.55,4.55,01/11/2022 - 8:00am to 2:30pm,6.5,01/11/2022 - 8:51am to 2:52pm,6.5,0,0,3.19,0,-0.16,0,0,4.55,7.58,3.03,KIDZ Academy - Lindfield
236624-240373,240373,LOPEZ,"Farkas Lopez, Thiago",0.00%,"Monday, 31 October 2022 - 8:00am to 4:30pm",8.5,8.5,0,85,0,0,5.95,0,3.41,94.36,01/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-94.36,Norto5 KIDZ - Station Close
208216-240401,240401,FIGG,"Figg, Henry",0.00%,"Tuesday, 1 November 2022 - 8:00am to 12:00pm",4,0,4,0,0,0,0,0,0,0,01/11/2022 - 8:00am to 12:00pm,4,01/01/2000 - 12:00am,4,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Cuckfield
